mention_id,entity_name,entity_type,chunk_id,section_id,context_snippet
M00148,VALIS,Person,1975-09-15_SECTION_012_04,,"lace, that they or he or she or it, the VALIS A, is right here with us. They never le"
M00149,Sophia,Person,1975-09-15_SECTION_012_04,,"of the [line?] / law. QED. If from St. Sophia, then is not just my suspicions. Fits w"
M00150,VALIS,Work,1975-09-15_SECTION_012_04,,"lace, that they or he or she or it, the VALIS A, is right here with us. They never le"
M00151,Valis,Work,1975-09-15_SECTION_012_04,,"lace, that they or he or she or it, the VALIS A, is right here with us. They never le"
M00152,TEARS,Work,1975-09-15_SECTION_012_04,,"S"" placed material (e.g. from ""Acts"" in TEARS, plus stuff in UBIK0 in my work, then """
M00153,DEUS IRAE,Work,1975-09-15_SECTION_012_04,,"t me from being snared. What I put into DEUS IRAE, for instance, makes me think this now,"
M00154,Deus Irae,Work,1975-09-15_SECTION_012_04,,"t me from being snared. What I put into DEUS IRAE, for instance, makes me think this now,"
M00155,Acts,Work,1975-09-15_SECTION_012_04,,"If ""VALIS"" placed material (e.g. from ""Acts"" in TEARS, plus stuff in UBIK0 in my wo"
M00156,Doris,Person,1975-09-17_Doris_01,,"September 17, 1975 Dear Doris, When I last saw you I mentioned that I"
M00157,Jesus,Person,1975-09-17_Doris_01,,"the Logos was equated by St. John with Jesus Christ, and thus Hebrew and Greek thoug"
M00158,Christ,Person,1975-09-17_Doris_01,,", who lived at exactly the same time as Christ, and was a Greek-educated Jew (he knew"
M00159,God,Person,1975-09-17_Doris_01,,"ing in the Hebrew Scriptures. "". . .For God did not make death, and takes no pleasu"
M00160,Sophia,Person,1975-09-17_Doris_01,,"n here on earth, as a pursuit of Haggia Sophia, or Holy Wisdom. Philo of Alexandria, w"
M00161,Logos,Person,1975-09-17_Doris_01,,"a, Holy Wisdom of the Hebrews, with the Logos of the Greeks. Slightly after that, as"
M00162,Britannica,Work,1975-09-17_Doris_01,,"again, and getting a lot out of it. The Britannica says that it is an unusual book in that"
M00163,Christopher,Person,1975-11-05_SECTION_013_01,,"ough me absolutely accurately diagnosed Christopher's birth defect and told my wife, ""You m"
